WBS,,,,,,,,,,
,,,,,,,,,,
구분,역할분류,작업,기능상세,담당자,완료여부,,,시작일,종료일,차
기획 및 설계,PE,파일 분석 구조 조사,,우건희,,,,2024-08-20,2024-08-30,10.3
,공통,배경 조사,,김효진,,,,2024-08-20,2024-08-28,8.3
,공통,프로젝트 발표자료 준비(8월29일),,김효진,,,,2024-08-20,2024-08-28,8.3
,공통,기술 스택 선정,"Asana, Miro, Slack, Git, Github, Sourcetree, Discord, VS CODE, Pycham, Python, React, Express, Nodejs, MariaDB, Naver Cloud, Ubuntu, Windows, HediSQL, Postman, HTML, CSS, JavaScript",우건희,완료,,,2024-08-20,2024-08-20,0.3
,공통,템플릿 선정,,김선우,완료,,,2024-08-20,2024-08-22,2.3
,공통,업무 분담 정의,,우건희,완료,,,2024-08-20,2024-08-20,0.3
,공통,회의록 템플릿 정의,"회의 제목, 회의 일자, 회의 내용정리(Sammary), 회의 주도자",김효진,완료,,,2024-08-20,2024-08-20,0.3
,공통,프로젝트 보고서 템플릿 정의,,김효진,완료,,,2024-08-20,2024-08-30,10.3
,공통,기능적 요구사항 템플릿 정의,,김효진,완료,,,2024-08-21,2024-08-21,0.3
,공통,플로우 차트 만들기,,김선우,완료,,,2024-08-21,2024-08-23,2.3
,WEB,웹 초안 작성,,김선우,,,,2024-08-22,2024-08-28,6.3
,PE,멀웨어 패턴 감지 기법 리서치,,우건희,완료,,,2024-08-22,2024-08-28,6.3
,공통,요구사항 명세서 작성,,김효진,,,,2024-08-26,2024-08-30,4.3
,공통,프로젝트 개요 및 배경 제작,,김효진,,,,2024-08-26,2024-08-26,0.3
,공통,플로우 차트 수정,,우건희,완료,,,2024-08-26,2024-08-26,0.3
,공통,USECASE 다이어그램 제작,,김선우,,,,2024-08-28,2024-08-28,0.3
,공통,프로젝트 발표자료 준비(9월13일),,김효진,,,,2024-08-30,2024-09-12,13.3
,PE,모듈 기능 설명 템플릿,,우건희,,,,2024-09-02,2024-09-06,4.3
,공통,기능 명세서 작성,,김효진,,,,2024-09-06,2024-09-13,7.3
,공통,프로젝트 발표자료 준비(10월 16일),,김효진,,,,2024-09-14,2024-10-15,31.3
,공통,프로젝트 보고서 준비(10월 16일),,김효진,,,,2024-09-14,2024-10-15,31.3
,공통,시연영상 제작,,김효진,,,,2024-10-07,2024-10-15,8.3
,공통,요구사항 정의서 작성,,김효진,완료,,,2024-08-22,2024-08-22,0.3
,WEB,웹 기능적 요구사항 정의,,김선우,완료,,,2024-08-22,2024-08-22,0.3
,공통,프레임워크 선정,,김선우,완료,,,2024-08-20,2024-08-20,0.3
,WEB,웹 비기능적 요구사항 정의,,김선우,완료,,,2024-08-22,2024-08-22,0.3
개발,WEB,백엔드 개발,,김선우,,,,2024-08-26,2024-09-06,11.3
,WEB,프론트엔드 개발,,김선우,,,,2024-08-26,2024-09-06,11.3
,WEB,악성코드 데이터 분류,"블랙리스트 작업
DB 작업",김선우,,,,2024-08-26,2024-09-06,11.3
,PE,암호화 판단 여부 확인 모듈 개발,,우건희,,,,2024-08-26,2024-09-06,11.3
,PE,파일 분석 모듈 개발,,우건희,,,,2024-08-26,2024-08-30,4.3
,공통,악성코드 데이터 수집,,김선우,,,,2024-08-26,2024-09-06,11.3
,WEB,Virus Total API 적용,,김선우,,,,2024-09-06,2024-09-13,7.3
,WEB,해쉬값 비교 모듈 개발,,김선우,,,,2024-09-13,2024-09-20,7.3
,WEB,파이썬API랑 백엔드 연동,,김선우,,,,2024-09-13,2024-09-17,4.3
서버,PE,클라우드 시스템 구축,,우건희,,,,2024-09-02,2024-09-06,4.3
테스트,공통,테스트 템플릿 정의,,김효진,,,,2024-09-02,2024-09-06,4.3
,PE,파일 분석 모듈 테스트,,우건희,,,,2024-09-09,2024-09-13,4.3
,WEB,웹 테스트,,김선우,,,,2024-09-09,2024-09-13,4.3
,WEB,Virus Total API 모듈 테스트,,김선우,,,,2024-09-16,2024-09-20,4.3
,공통,종합 테스트,,우건희,,,,2024-10-02,2024-10-11,9.3
유지보수,공통,프로젝트 오티,,우건희,완료,,,2024-08-13,2024-08-13,0.3
,공통,시스템 배포,,우건희,,,,2024-10-03,2024-10-13,10.3
,공통,유지보수,,우건희,,,,2024-10-16,2024-12-31,76.3
회의,공통,프로젝트 일정 계획 회의,프로젝트 일정 계획 회의,우건희,완료,,,2024-08-20,2024-08-20,0.3
,공통,2024-08-20 마무리 회의,,김효진,완료,,,2024-08-20,2024-08-20,0.3
,공통,기능적 요구사항 정의 회의,,우건희,완료,,,2024-08-21,2024-08-21,0.3
,공통,2024-08-21 마무리 회의,,김효진,완료,,,2024-08-21,2024-08-21,0.3
,공통,비기능적 요구사항 정의 회의,,우건희,완료,,,2024-08-22,2024-08-22,0.3
,공통,2024-08-22 마무리 회의,,김효진,완료,,,2024-08-22,2024-08-22,0.3
,공통,데이터셋 수집 정책 회의,,우건희,완료,,,2024-08-23,2024-08-23,0.3
,공통,2024-08-23 마무리 회의,,김효진,완료,,,2024-08-23,2024-08-23,0.3
,공통,2024-08-26 마무리 회의,,김효진,완료,,,2024-08-26,2024-08-26,0.3
,공통,데이터베이스 정의 회의,,김선우,,,,2024-09-02,2024-09-02,0.3
